sku,product,category,subcategory,theme,owner,explicit,latent,total,syndicated_copies,examples
KTH-KH-REVILL-25-BR,REVILL Knurled Hook - Brass,Hook,Single Fixing Hook,Fixings & screws,PRODUCT,1,0,1,0,"The brass knob itself feels nice, the knurling is satisfying and the product feels weighty. Unfortunately, it is not suitable for its intended purpose - it is designed as a hook, but the screw fitting supplied that is co"
KTH-KH-REVILL-25-BR,REVILL Knurled Hook - Brass,Hook,Single Fixing Hook,Grip & usability,PRODUCT,1,0,1,0,"The brass knob itself feels nice, the knurling is satisfying and the product feels weighty. Unfortunately, it is not suitable for its intended purpose - it is designed as a hook, but the screw fitting supplied that is co"
KTH-KH-REVILL-25-BR,REVILL Knurled Hook - Brass,Hook,Single Fixing Hook,Weight & material feel,PRODUCT,1,0,1,0,"The brass knob itself feels nice, the knurling is satisfying and the product feels weighty. Unfortunately, it is not suitable for its intended purpose - it is designed as a hook, but the screw fitting supplied that is co"
CBH-BLAK-150-1AB,BLAKE Handle - Antique Brass,Handle,Solid Bar,Size & dimensions,PRODUCT,1,0,1,0,Beautiful but comically difficult to hold if you are to use it as intended as a drawer pull. It’s not deep enough to have any sort of grip so you end up almost having to pinch it to open the drawer.
CBH-BLAK-150-1AB,BLAKE Handle - Antique Brass,Handle,Solid Bar,Grip & usability,PRODUCT,1,0,1,0,Beautiful but comically difficult to hold if you are to use it as intended as a drawer pull. It’s not deep enough to have any sort of grip so you end up almost having to pinch it to open the drawer.
CST-SQUI-060-1PN,SQUIGGLE Single T Handle - Polished Nickel,Handle,Single T,Breakage & defect,PRODUCT,1,0,1,0,Awful! Snapped clean off when tightened!
CST-SQUI-060-1BR,SQUIGGLE Single T Handle - Brass,Handle,Single T,Breakage & defect,PRODUCT,1,0,1,1,Awful! Snapped during tightening! What a waste of money!
CST-SQUI-060-1BR,SQUIGGLE Single T Handle - Brass,Handle,Single T,Value for money,PRODUCT,1,0,1,1,Awful! Snapped during tightening! What a waste of money!
KH-KEPLER-160-BR,KEPLER Knurled T-Bar Handle - Brass,Handle,T Bar,Fixings & screws,PRODUCT,1,0,1,0,These were worth it! We knew we wanted to knurled hardware because we wanted its texture and feel. It was tough finding a knurled handle in the right soft style but so glad we splurged and took a chance with Plank. Reall
KH-BECKER-170-BR,BECKER Grooved Handle - Brass,Handle,D Bar,Unclassified,PRODUCT,1,0,1,0,I am very impressed with the Plank cabinet pulls I ordered for my new custom built-in closet.   They feel weighty and solid in hand. The quality is apparent.
GB-LCL-MARI-028-7BR,MARIN Glass Pendant Light - Brass,Fixed Lighting,Ceiling Light,Finish & colour mismatch,PRODUCT,1,0,1,0,"My only issue with this pendant is that the bulb bought from plank seems to leave an orange tint on the bottom of the glass, making it look like something is trapped inside the glass itself.  Other than that, it looks ni"
GB-KIT-ETOG-MAXW-1G-1AB,MAXWELL 1G Smooth Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Installation difficulty,PRODUCT,1,0,1,0,The product finish and feel is very good. The system for the wires and how it holds into the backing plate is poor.
GB-KIT-ETOG-KEPL-2G-1AB,KEPLER 2G Two Way Knurled Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Missing parts & availability,OPS,1,0,1,0,"Awful, no one answers emails or telephone calls, delivery missing parts of the order."
GB-KIT-ETOG-KEPL-2G-1AB,KEPLER 2G Two Way Knurled Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Delivery,OPS,1,0,1,0,"Awful, no one answers emails or telephone calls, delivery missing parts of the order."
GB-KIT-ETOG-KEPL-2G-1AB,KEPLER 2G Two Way Knurled Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Customer service,OPS,1,0,1,0,"Awful, no one answers emails or telephone calls, delivery missing parts of the order."
US-LCL-MARI-028-7BR,MARIN Glass Pendant Light - Brass,Fixed Lighting,Ceiling Light,Value for money,PRODUCT,1,0,1,0,"Great lights for the price! I really like the look, but unfortunately, they hang crooked and I can't seem to get them straight. That is my only major issue. I'm open to suggestions on how to fix this and would gladly imp"
CBP-COHE-156-1AB,COHEN Handle Backplate - Antique Brass,Cabinetry Accessory,Backplate,Delivery,OPS,1,0,1,0,"HORRIBLE. THEY NEVER SHIPPED MY ORDER AND WHEN I SENT AN EMAIL TO CUSTOMER SERVICE, THEY NEVER RESPONDED"
CBP-COHE-156-1AB,COHEN Handle Backplate - Antique Brass,Cabinetry Accessory,Backplate,Customer service,OPS,1,0,1,0,"HORRIBLE. THEY NEVER SHIPPED MY ORDER AND WHEN I SENT AN EMAIL TO CUSTOMER SERVICE, THEY NEVER RESPONDED"
CDB-GRAY-111-1BR,GRAYSON Handle  - Brass,Handle,D Bar,Delivery,OPS,1,0,1,0,Happy with the handles but paid for express delivery which then took a week.
CBH-BLAK-220-3BK,BLAKE Minimalist Handle - Black,Handle,,Missing parts & availability,OPS,1,0,1,0,"Ordered these handles, they didn’t inform me they were discontinuing them so when a few days later I realised I needed 2 more to complete the kitchen they had none to send me! Not even kept a few for faults replacements "
CKN-KOJI-028-1BR-R,KOJI Round Knob - Brass,,,Grip & usability,PRODUCT,1,0,1,0,"These knobs are really beautiful and they have transformed the look of my kitchen. However, the shape it not really that practical - they are quite hard to get a grip on and so opening my cupboards requires thought about"
ASB-FOLD-072-1BR,FOLD Soap Holder - Brass,Soap Bracket,Soap Bracket,Size & dimensions,PRODUCT,1,0,1,0,I ordered this for my little downstairs loo but unfortunately cannot get soap bottles that fit the dimensions so it’s been a waste of money.
ASB-FOLD-072-1BR,FOLD Soap Holder - Brass,Soap Bracket,Soap Bracket,Value for money,PRODUCT,1,0,1,0,I ordered this for my little downstairs loo but unfortunately cannot get soap bottles that fit the dimensions so it’s been a waste of money.
CBP-COHE-060-1AB,COHEN Knob Backplate - Antique Brass,Cabinetry Accessory,Backplate,Unclassified,PRODUCT,1,0,1,0,Great quality
CDB-GRAY-476-1AB,GRAYSON Heavyweight Long Handle - Antique Brass,Handle,D Bar,Finish & colour mismatch,PRODUCT,1,0,1,0,Didn’t find this to be as good of quality as expected for the price. The backplate is flimsy and the Antique Brass finish looks very manufactured (streaks/uniform lines) rather than authentic. Hoped for more for the pric
CDB-GRAY-476-1AB,GRAYSON Heavyweight Long Handle - Antique Brass,Handle,D Bar,Weight & material feel,PRODUCT,1,0,1,0,Didn’t find this to be as good of quality as expected for the price. The backplate is flimsy and the Antique Brass finish looks very manufactured (streaks/uniform lines) rather than authentic. Hoped for more for the pric
CDB-GRAY-476-1AB,GRAYSON Heavyweight Long Handle - Antique Brass,Handle,D Bar,Value for money,PRODUCT,1,0,1,0,Didn’t find this to be as good of quality as expected for the price. The backplate is flimsy and the Antique Brass finish looks very manufactured (streaks/uniform lines) rather than authentic. Hoped for more for the pric
HK-LEVI-80-BK,LEVI Hook - Black,Hook,Double Fixing Hook,Size & dimensions,PRODUCT,1,0,1,0,Smaller than I expected
CTB-KEPL-160-3BK,KEPLER Knurled Handle - Black,Handle,T Bar,Weight & material feel,PRODUCT,1,0,1,0,"So disappointed with the handles since the material was changed to aluminium they feel so light and cheap compared to before,will never be buying anything again"
KTH-CKN-FELI-025-2SS,FELIX Round Hook - Stainless Steel,,,Fixings & screws,PRODUCT,1,0,1,0,"The door hook is beautiful, expect we can’t get the fixture to fit with the provided screw/ plug. It wiggles in the fitting and doesn’t screw tight to the door. I’m sure once we’ve figured out how to sort it, it will be "
KTH-CKN-FELI-025-2SS,FELIX Round Hook - Stainless Steel,,,Breakage & defect,PRODUCT,1,0,1,0,"The door hook is beautiful, expect we can’t get the fixture to fit with the provided screw/ plug. It wiggles in the fitting and doesn’t screw tight to the door. I’m sure once we’ve figured out how to sort it, it will be "
ACM-CCM-260-2GR,Measurement Tool (CC Hole Measurer),Tools,CC Hole Measurer,Unclassified,PRODUCT,1,0,1,0,The holes do not seem to synch with anything.
CKN-PEBB-038-1AG,PEBBLE Organic Knob - Aged Brass,Knob,Knob,Finish & colour mismatch,PRODUCT,1,0,1,0,Well packaged and a timely delivery. I love the shape a feel of the handles but they look much brighter and shinier on the website than in real life. I would’ve preferred them if they were brighter.
CKN-PEBB-038-1AG,PEBBLE Organic Knob - Aged Brass,Knob,Knob,Delivery,OPS,1,0,1,0,Well packaged and a timely delivery. I love the shape a feel of the handles but they look much brighter and shinier on the website than in real life. I would’ve preferred them if they were brighter.
KH-KEPLER-160-AB,KEPLER Knurled T-Bar Handle - Antique Brass,Handle,T Bar,Installation difficulty,PRODUCT,1,0,1,0,"I’m going to be honest: we love the look of all your products, we’ve probably bought over 40 x dimmer and switcher units but our electricians have had a NIGHTMARE for the last 3 months - in their words because we chose P"
CDB-BOBB-175-1BR,BOBBIN Handle - Brass,Handle,D Bar,Size & dimensions,PRODUCT,1,0,1,0,$250 of hardware rendered useless. The screws they came with are too short. Made multiple attempts to find correct screws and install (even by a trim carpenter) and still they won’t fit tight to the cabinet. No return po
CDB-BOBB-175-1BR,BOBBIN Handle - Brass,Handle,D Bar,Value for money,PRODUCT,1,0,1,0,$250 of hardware rendered useless. The screws they came with are too short. Made multiple attempts to find correct screws and install (even by a trim carpenter) and still they won’t fit tight to the cabinet. No return po
CDB-BOBB-175-1BR,BOBBIN Handle - Brass,Handle,D Bar,Returns & exchange friction,OPS,1,0,1,0,$250 of hardware rendered useless. The screws they came with are too short. Made multiple attempts to find correct screws and install (even by a trim carpenter) and still they won’t fit tight to the cabinet. No return po
COH-FOLD-160-1BR,FOLD Long Edge Pull Handle - Brass,Handle,Edge Pull,Returns & exchange friction,OPS,1,0,1,0,Excellent quality; purchased for bathroom cabinets under sink however they protrude too much and would catch clothes/ abdomen area if using the sink so we returned for the minimalist bar option instead. Excellent service
KH-WATT-50-BR,WATT Single T Handle - Brass,Handle,Single T,Fixings & screws,PRODUCT,1,0,1,0,"Gorgeous! Exactly as pictured. Fast delivery. Would of given 5 stars but one screw was missing in one of the boxes, straightforward to replace though if you've got spare screws knocking about your house!  (I originally o"
KH-WATT-50-BR,WATT Single T Handle - Brass,Handle,Single T,Delivery,OPS,1,0,1,0,"Gorgeous! Exactly as pictured. Fast delivery. Would of given 5 stars but one screw was missing in one of the boxes, straightforward to replace though if you've got spare screws knocking about your house!  (I originally o"
KH-FRANKLIN-21-AB,FRANKLIN Knurled Button Knob - Antique Brass,,,Fixings & screws,PRODUCT,1,0,1,0,Its nice but the knob was too largebfor my needs and the screw post was too small. I'm trying to find a replacement knob for a tray that pulls out of thenroo of my night stand. Hard to find a less than half inch knob wit
KH-FRANKLIN-21-AB,FRANKLIN Knurled Button Knob - Antique Brass,,,Size & dimensions,PRODUCT,1,0,1,0,Its nice but the knob was too largebfor my needs and the screw post was too small. I'm trying to find a replacement knob for a tray that pulls out of thenroo of my night stand. Hard to find a less than half inch knob wit
GB-KIT-ETOG-KEPL-4G-1AB,KEPLER 4G Two Way Knurled Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Breakage & defect,PRODUCT,1,0,1,0,"Look nice but poor quality, had to request a new part that broke to be told that it ‘happens all the time’ came needing to be built which I wasn’t expecting at the price they cost"
GB-KIT-ETOG-KEPL-2G-1AB,KEPLER 2G Two Way Knurled Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Breakage & defect,PRODUCT,1,0,1,1,"Look nice but poor quality, had to request a new part that broke to be told that it ‘happens all the time’ came needing to be built which I wasn’t expecting at the price they cost"
ASH-PULL-052-1AB,PULLMAN Hook - Antique Brass,Hook,Single Fixing Hook,Breakage & defect,PRODUCT,1,0,1,0,"Lovely hooks visually, however I am questioning the quality as one didn’t screw in- could just be pulled off. Another screw broke inside the wood whilst putting it on- no fault of our own."
HK-LEVI-80-BR,LEVI Hook - Brass,Hook,Double Fixing Hook,Fixings & screws,PRODUCT,1,0,1,0,"The hooks themselves are great, but the provided fittings were awful with screw heads that stripped with very little force. Ended up having to replace them with our own, which was disappointing given the cost."
HK-LEVI-80-BR,LEVI Hook - Brass,Hook,Double Fixing Hook,Breakage & defect,PRODUCT,1,0,1,0,"The hooks themselves are great, but the provided fittings were awful with screw heads that stripped with very little force. Ended up having to replace them with our own, which was disappointing given the cost."
GB-KIT-MODE-DIM-KN-1BR,KEPLER Auto Detect Dimmer Detail with Module - Brass,Electric Component,Detail & Module,Delivery,OPS,1,0,1,0,"Lovely products, good quality and look beautiful. Prompt delivery and very good, supportive customer service. Thoroughly recommend this product and Plank overall"
GB-KIT-MODE-DIM-KN-1BR,KEPLER Auto Detect Dimmer Detail with Module - Brass,Electric Component,Detail & Module,Customer service,OPS,1,0,1,0,"Lovely products, good quality and look beautiful. Prompt delivery and very good, supportive customer service. Thoroughly recommend this product and Plank overall"
GB-KIT-EDIM-MAXW-2G-1AB,MAXWELL 2G Smooth Dimmer Light Switch - Antique Brass,Switch & Dimmer,Dimmer Switch,Unclassified,PRODUCT,1,0,1,0,The faceplates look good but there is a significant lag of a couple of seconds before lights actually turnoff plus they don’t seem to sit flush against the wall.
GB-KIT-EDIM-MAXW-3G-1AB,MAXWELL 3G Smooth Dimmer Light Switch - Antique Brass,Switch & Dimmer,Dimmer Switch,Unclassified,PRODUCT,1,0,1,1,The faceplates look good but there is a significant lag of a couple of seconds before lights actually turnoff plus they don’t seem to sit flush against the wall.
GB-KIT-EDIM-MAXW-1G-1AB,MAXWELL 1G Smooth Dimmer Light Switch - Antique Brass,Switch & Dimmer,Dimmer Switch,Unclassified,PRODUCT,1,0,1,1,The faceplates look good but there is a significant lag of a second or two before lights actually turn on/ooff plus they don’t seem to sit flush against the wall.
GB-KIT-ETOG-KEPL-1G-1BR,KEPLER 1G Knurled Toggle Light Switch - Brass,Switch & Dimmer,Toggle Switch,Unclassified,PRODUCT,1,0,1,0,"I had to return these, quality wasnt whatbi expexted and, the fact that i have to assemble myself makes installation inpractical"
GB-KIT-EDIM-KEPL-1G-1BR,KEPLER 1G Knurled Dimmer Light Switch - Brass,Switch & Dimmer,Dimmer Switch,Unclassified,PRODUCT,1,0,1,1,"I had to return these, quality wasnt whatbi expexted and, the fact that i have to assemble myself makes installation inpractical"
CKN-GRAY-036-1AB,GRAYSON Knob - Antique Brass,Knob,Knob,Unclassified,PRODUCT,1,0,1,0,Pretty and sturdy knobs! Just right for my home
ADH-HOFF-090-3BK-R,HOFFMAN 90mm Hook - Black,Hook,Double Fixing Hook,Fixings & screws,PRODUCT,1,0,1,0,"Great hooks. Stylish, strong, perfect size for our use.   But the screws provided where complete crap, It took me an hour to dig and plier the 3 snapped screw stems out of my otherwise perfect new mudroom bench, then a d"
ADH-HOFF-090-3BK-R,HOFFMAN 90mm Hook - Black,Hook,Double Fixing Hook,Breakage & defect,PRODUCT,1,0,1,0,"Great hooks. Stylish, strong, perfect size for our use.   But the screws provided where complete crap, It took me an hour to dig and plier the 3 snapped screw stems out of my otherwise perfect new mudroom bench, then a d"
CKN-PEBB-038-1AG,PEBBLE Organic Knob - Aged Brass,Knob,Knob,Unclassified,PRODUCT,1,0,1,0,Not the same colour as the photo. Comes speckled with dark flecks which make it look dirty. The Plank team say this is as they expect sadly. The photos online are misleading. Beware.
KTH-CKN-PEBB-038-1BK,PEBBLE Organic Hook - Black,,,Unclassified,PRODUCT,1,0,1,0,Deceptively small but of good quality.
CDB-BOBB-379-1BR,BOBBIN Closet Bar Handle - Brass,Handle,,Fixings & screws,PRODUCT,1,0,1,0,I think these are very overpriced for what you are getting also the screws provided aren’t long enough I also feel that for such an expensive item it should come with a backing plate as standard
CDB-BOBB-379-1BR,BOBBIN Closet Bar Handle - Brass,Handle,,Installation difficulty,PRODUCT,1,0,1,0,I think these are very overpriced for what you are getting also the screws provided aren’t long enough I also feel that for such an expensive item it should come with a backing plate as standard
CDB-BOBB-379-1BR,BOBBIN Closet Bar Handle - Brass,Handle,,Value for money,PRODUCT,1,0,1,0,I think these are very overpriced for what you are getting also the screws provided aren’t long enough I also feel that for such an expensive item it should come with a backing plate as standard
CTB-WATT-155-1AB,WATT T-Bar Handle - Antique Brass,Handle,T Bar,Fixings & screws,PRODUCT,1,0,1,0,Handle is really good but the screws supplied by default with the product are really short and don’t suit doors that are 1 inch thick
CST-WATT-050-1AB,WATT Single T Handle - Antique Brass,Handle,Single T,Fixings & screws,PRODUCT,1,0,1,1,Handle is really good but the screws supplied by default with the product are really short and don’t suit doors that are 1 inch thick
ASB-FOLD-072-1BR,FOLD Soap Holder - Brass,Soap Bracket,Soap Bracket,Unclassified,PRODUCT,1,0,1,0,"Well, very attractive to look at but am yet to find a liquid soap that fits the hole"
KTH-KH-LOVELL-28-BK,LOVELL Circular Hook - Black,,,Finish & colour mismatch,PRODUCT,1,0,1,1,"Excellent quality with everything needed included. Delivery great. Although adequate, hooks look much larger on the website than they actually are, although dimensions given I am sure it means nothing to most customers. "
KTH-KH-LOVELL-28-BK,LOVELL Circular Hook - Black,,,Delivery,OPS,1,0,1,1,"Excellent quality with everything needed included. Delivery great. Although adequate, hooks look much larger on the website than they actually are, although dimensions given I am sure it means nothing to most customers. "
CDB-BOBB-379-1AB,BOBBIN Closet Bar Handle - Antique Brass,Handle,,Fixings & screws,PRODUCT,1,0,1,0,"I love the bar handles, my only criticism would be to also include longer screws as an option. I would have thought most users would need these to attach through the full depth of a door."
KH-BLAKE-150-BR,BLAKE Handle - Brass,Handle,Solid Bar,Unclassified,PRODUCT,1,0,1,0,Well made but Not enough grip for old hands
TAPSET-CRA-SM-BR,ARMSTRONG Smooth Kitchen Mixer Tap - Brass,Unmapped SKU,,Unclassified,PRODUCT,1,0,1,0,"Overall this tap is fine. My issue is with the modulation of temperature, it’s either very hot or very cold. Finding a warm middle ground is very difficult. There doesn’t seem to be a spectrum from hot to cold it’s just "
KH-SCOTT-100-BR,SCOTT Swirled Handle - Brass,Handle,L Bar,Fixings & screws,PRODUCT,1,0,1,0,Lovely looking product. Feels great. Template for drilling holes would be really useful as it's not always easy to line up the drill holes. Sometimes find I'm drilling bigger holes to allow for screw movement to find the
TAPSET-SWA-SM-SS,PORTMAN Smooth Kitchen Mixer Tap - Brushed Silver,Unmapped SKU,,Finish & colour mismatch,PRODUCT,1,0,1,0,Sadly has a goldish tint which is disappointing
KH-KEPLER-160-AB,KEPLER Knurled T-Bar Handle - Antique Brass,Handle,T Bar,Unclassified,PRODUCT,1,0,1,0,Has not arrived
ADH-HOFF-090-3BK-R,HOFFMAN 90mm Hook - Black,Hook,Double Fixing Hook,Unclassified,PRODUCT,1,0,1,0,Great quality product.
KH-SCOTT-100-AL-BK,SCOTT Swirled Handle - Black,,,Fixings & screws,PRODUCT,1,0,1,0,Screws can easily strip out if tighten too tight resulting in unusable hardware. I am curious to see how they hold up and if they loosen over time.
KH-LENNON-25-AL-BK,LENNON Grooved Button Knob - Black,,,Returns & exchange friction,OPS,1,0,1,0,Do not buy no thing from them it going to cost more if you wanna return it the worst company I ever try
KTH-KH-BEZEL-32-SS,BEZEL Grooved Hook - Stainless Steel,,,Fixings & screws,PRODUCT,1,0,1,0,The hook comes with an attachment that is part screw (to fix into your wall) and part threaded bolt (that goes into the hook itself). The hook itself is beautifully tooled to the highest quality.
ADH-HOFF-090-3BK-R,HOFFMAN 90mm Hook - Black,Hook,Double Fixing Hook,Value for money,PRODUCT,1,0,1,0,Nice hooks but a bit overpriced as they are quite small and I've needed to get some more to hold more coats than these could.
DL-MORRISON-150-BR,MORRISON Knurled Door Lever Handle - Brass,,,Fixings & screws,PRODUCT,1,0,1,0,Doesn't work with a bathroom lock mechanism as the connecting bolts need to pass through and be connected
